Tree_Name	assembly	pep	cds	gff	gtf
Yamadazyma_siamensis	yHMPu5000038029_Yamadazyma_siamensis_SPADES.fas	yHMPu5000038029_Yamadazyma_siamensis_SPADES.final.pep	yHMPu5000038029_Yamadazyma_siamensis_SPADES.final.cds	yHMPu5000038029_Yamadazyma_siamensis_SPADES.final.gff3	yHMPu5000038029_Yamadazyma_siamensis_SPADES.final.gtf
Yamadazyma_olivae	yHMPu5000038031_Yamadazyma_olivae_SPADES.fas	yHMPu5000038031_Yamadazyma_olivae_SPADES.final.pep	yHMPu5000038031_Yamadazyma_olivae_SPADES.final.cds	yHMPu5000038031_Yamadazyma_olivae_SPADES.final.gff3	yHMPu5000038031_Yamadazyma_olivae_SPADES.final.gtf
Nadsonia_commutata	yHMPu5000038059_Nadsonia_commutata_S169_SPADES.fas	yHMPu5000038059_Nadsonia_commutata_S169_SPADES.final.pep	yHMPu5000038059_Nadsonia_commutata_S169_SPADES.final.cds	yHMPu5000038059_Nadsonia_commutata_S169_SPADES.final.gff3	yHMPu5000038059_Nadsonia_commutata_S169_SPADES.final.gtf
Yamadazyma_tumulicola	yHMPu5000038076_Candida_tumulicola_SPADES.fas	yHMPu5000038076_Candida_tumulicola_SPADES.final.pep	yHMPu5000038076_Candida_tumulicola_SPADES.final.cds	yHMPu5000038076_Candida_tumulicola_SPADES.final.gff3	yHMPu5000038076_Candida_tumulicola_SPADES.final.gtf
Candida_tanticharoeniae	yHMPu5000038079_Candida_tanticharoeniae_SPADES.fas	yHMPu5000038079_Candida_tanticharoeniae_SPADES.final.pep	yHMPu5000038079_Candida_tanticharoeniae_SPADES.final.cds	yHMPu5000038079_Candida_tanticharoeniae_SPADES.final.gff3	yHMPu5000038079_Candida_tanticharoeniae_SPADES.final.gtf
Candida_palmyrensis	yHMPu5000038086_Candida_palmyrensis_SPADES.fas	yHMPu5000038086_Candida_palmyrensis_SPADES.final.pep	yHMPu5000038086_Candida_palmyrensis_SPADES.final.cds	yHMPu5000038086_Candida_palmyrensis_SPADES.final.gff3	yHMPu5000038086_Candida_palmyrensis_SPADES.final.gtf
Candida_khao-thaluensis	yHMPu5000038108_Candida_khao-thaluensis_SPADES.fas	yHMPu5000038108_Candida_khao-thaluensis_SPADES.final.pep	yHMPu5000038108_Candida_khao-thaluensis_SPADES.final.cds	yHMPu5000038108_Candida_khao-thaluensis_SPADES.final.gff3	yHMPu5000038108_Candida_khao-thaluensis_SPADES.final.gtf
Metschnikowia_henanensis	yHMPu5000038328_Metschnikowia_henanensis_SPADES.haplomerger2.fas	yHMPu5000038328_Metschnikowia_henanensis_SPADES.haplomerger2.final.pep	yHMPu5000038328_Metschnikowia_henanensis_SPADES.haplomerger2.final.cds	yHMPu5000038328_Metschnikowia_henanensis_SPADES.haplomerger2.final.gff3	yHMPu5000038328_Metschnikowia_henanensis_SPADES.haplomerger2.final.gtf
Candida_qinlingensis	yHMPu5000038364_Candida_qinlingensis_SPADES.fas	yHMPu5000038364_Candida_qinlingensis_SPADES.final.pep	yHMPu5000038364_Candida_qinlingensis_SPADES.final.cds	yHMPu5000038364_Candida_qinlingensis_SPADES.final.gff3	yHMPu5000038364_Candida_qinlingensis_SPADES.final.gtf
Metschnikowia_colocasiae	yHMPu5000040942_Metschnikowia_colocasiae_SPADES.fas	yHMPu5000040942_Metschnikowia_colocasiae_SPADES.final.pep	yHMPu5000040942_Metschnikowia_colocasiae_SPADES.final.cds	yHMPu5000040942_Metschnikowia_colocasiae_SPADES.final.gff3	yHMPu5000040942_Metschnikowia_colocasiae_SPADES.final.gtf
