assembly_fullID_updated	Tip_ID	assembly_fullID_updated_kegg	assembly_fullID_updated_OG	Tip_ID_v2	FINAL_Tip_ID	DanaKegg
yHMPu5000034910_candida_sp_160519	Ogataea_sp._NRRLYB-1238	yHMPu5000034910_candida_sp_160519	yHMPu5000034910_candida_sp_160519	Ogataea_sp._NRRL_YB-1238	Ogataea_sp._NRRL_YB-1238	yHMPu5000034910_candida_sp_160519
yHMPu5000034912_candida_sonorensis_160519	Candida_sonorensis_CBS6792	yHMPu5000034912_candida_sonorensis_160519	yHMPu5000034912_candida_sonorensis_160519	Candida_sonorensis	Candida_sonorensis	yHMPu5000034912_candida_sonorensis_160519
yHMPu5000034913_candida_pini_160519	Candida_pini_CBS970	yHMPu5000034913_candida_pini_160519	yHMPu5000034913_candida_pini_160519	Candida_pini	Candida_pini	yHMPu5000034913_candida_pini_160519
yHMPu5000034915_candida_piceae_170307	Candida_piceae_CBS8701	yHMPu5000034915_candida_piceae_170307	yHMPu5000034915_candida_piceae_170307	Candida_piceae	Candida_piceae	yHMPu5000034915_candida_piceae_170307
yHMPu5000034916_candida_nitratophila_160519	Candida_nitratophila_CBS2027	yHMPu5000034916_candida_nitratophila_160519	yHMPu5000034916_candida_nitratophila_160519	Candida_nitratophila	Candida_nitratophila	yHMPu5000034916_candida_nitratophila_160519
yHMPu5000034917_candida_nemodendra_160519	Candida_nemodendra_CBS6280	yHMPu5000034917_candida_nemodendra_160519	yHMPu5000034917_candida_nemodendra_160519	Candida_nemodendra	Candida_nemodendra	yHMPu5000034917_candida_nemodendra_160519
yHMPu5000034918_nakazawaea_holstii_160519	Nakazawaea_holstii_CBS4140	yHMPu5000034918_nakazawaea_holstii_160519	yHMPu5000034918_nakazawaea_holstii_160519	Nakazawaea_holstii	Nakazawaea_holstii	yHMPu5000034918_nakazawaea_holstii_160519
yHMPu5000034919_nakazawaea_ishiwadae_160519	Nakazawaea_ishiwadae_CBS6022	yHMPu5000034919_nakazawaea_ishiwadae_160519	yHMPu5000034919_nakazawaea_ishiwadae_160519	Nakazawaea_ishiwadae	Nakazawaea_ishiwadae	yHMPu5000034919_nakazawaea_ishiwadae_160519
yHMPu5000034920_nakazawaea_laoshanensis_170713	Nakazawaea_laoshanensis_CBS11389	yHMPu5000034920_nakazawaea_laoshanensis_170713	yHMPu5000034920_nakazawaea_laoshanensis_170713	Nakazawaea_laoshanensis	Nakazawaea_laoshanensis	yHMPu5000034920_nakazawaea_laoshanensis_170713
yHMPu5000034921_nakazawaea_peltata_160519	Nakazawaea_peltata_CBS5576	yHMPu5000034921_nakazawaea_peltata_160519	yHMPu5000034921_nakazawaea_peltata_160519	Nakazawaea_peltata	Nakazawaea_peltata	yHMPu5000034921_nakazawaea_peltata_160519
yHMPu5000034922_nakazawaea_pomicola_160519	Nakazawaea_pomicola_CBS4242	yHMPu5000034922_nakazawaea_pomicola_160519	yHMPu5000034922_nakazawaea_pomicola_160519	Nakazawaea_pomicola	Nakazawaea_pomicola	yHMPu5000034922_nakazawaea_pomicola_160519
yHMPu5000034923_nakazawaea_wickerhamii_160519	Nakazawaea_wickerhamii_CBS2928	yHMPu5000034923_nakazawaea_wickerhamii_160519	yHMPu5000034923_nakazawaea_wickerhamii_160519	Nakazawaea_wickerhamii	Nakazawaea_wickerhamii	yHMPu5000034923_nakazawaea_wickerhamii_160519
yHMPu5000034924_nakazawaea_wyomingensis_160519	Nakazawaea_wyomingensis_CBS8703	yHMPu5000034924_nakazawaea_wyomingensis_160519	yHMPu5000034924_nakazawaea_wyomingensis_160519	Nakazawaea_wyomingensis	Nakazawaea_wyomingensis	yHMPu5000034924_nakazawaea_wyomingensis_160519
